c A SAT instance generated from a 3-CNF formula that had 650 clauses and 128 variables
Exactly-1
p cnf 128 650
123 -62 44 0
-29 -52 -80 0
5 24 64 0
-124 74 96 0
-14 70 63 0
-4 -51 -33 0
71 -15 -109 0
6 -83 93 0
92 37 60 0
34 -118 110 0
-77 -68 37 0
-70 60 31 0
-62 -48 3 0
124 -123 69 0
72 -124 100 0
-19 -127 -14 0
57 94 118 0
63 -97 -93 0
75 3 -25 0
-19 -83 116 0
-126 -101 17 0
-78 -102 -1 0
-49 -71 -109 0
-101 5 79 0
113 -102 -15 0
-17 108 -92 0
117 124 -39 0
41 9 79 0
106 -50 -25 0
-47 1 -120 0
-30 -58 -29 0
74 5 73 0
68 80 36 0
-11 38 74 0
-113 104 47 0
31 -119 1 0
5 4 93 0
-119 31 -9 0
-16 51 -77 0
72 50 43 0
74 84 121 0
-76 25 -53 0
86 -111 -9 0
59 -53 -116 0
-24 -99 -36 0
-6 -99 38 0
78 -108 -62 0
-76 -7 32 0
-61 51 107 0
-89 -102 84 0
11 25 -107 0
-36 53 124 0
16 51 73 0
36 8 -118 0
46 34 -17 0
-14 37 64 0
8 104 -52 0
-110 121 -81 0
-10 -35 -119 0
28 116 -111 0
44 -122 80 0
-101 61 118 0
42 98 48 0
-40 -102 -9 0
-27 -117 39 0
-76 30 -26 0
-86 22 6 0
-50 4 83 0
26 -74 24 0
93 42 -128 0
89 -92 42 0
83 69 56 0
-66 39 -48 0
66 67 -127 0
12 25 -56 0
25 -78 -123 0
-81 63 -90 0
-57 -15 36 0
22 -7 46 0
-123 -122 -61 0
-27 -16 25 0
-67 53 90 0
94 -27 -14 0
-13 -88 81 0
-117 98 31 0
-42 -1 75 0
-28 59 -17 0
87 -69 -105 0
-104 122 47 0
118 51 -83 0
122 -101 9 0
47 115 -3 0
46 109 -123 0
-49 -118 12 0
-115 47 -105 0
-72 113 74 0
-86 20 59 0
121 43 -16 0
-64 -65 -108 0
-96 22 106 0
-50 55 -114 0
116 76 126 0
