c A SAT instance generated from a 3-CNF formula that had 110 clauses and 32 variables
p cnf 32 110
-23 11 8 0
27 8 13 0
-30 1 4 0
-27 13 -31 0
2 -13 -31 0
-27 5 4 0
19 -23 1 0
-15 14 17 0
7 17 15 0
5 -19 13 0
-6 26 -32 0
15 -2 -19 0
10 12 -18 0
22 -6 -4 0
-2 -8 7 0
-23 -16 -7 0
-25 12 13 0
1 32 -14 0
21 -3 2 0
27 -19 6 0
12 30 6 0
-28 7 16 0
-17 -9 -12 0
-13 17 -14 0
27 11 12 0
16 -7 -8 0
18 30 31 0
-22 -13 21 0
-31 -26 -3 0
-1 -4 23 0
-13 -24 29 0
29 -25 -17 0
28 -20 -27 0
25 1 -18 0
26 32 -3 0
31 17 -25 0
24 -11 26 0
22 14 32 0
20 12 -6 0
11 -27 -24 0
-1 -25 9 0
26 25 -7 0
-24 -14 29 0
28 11 29 0
-23 -17 -16 0
1 -19 -28 0
11 -30 -25 0
-12 14 24 0
-7 30 -22 0
-9 -17 6 0
-32 -22 -9 0
-28 -9 -31 0
15 22 -7 0
3 -31 -1 0
10 -20 7 0
8 -24 -32 0
6 4 29 0
-12 -18 30 0
2 29 -31 0
25 -4 2 0
4 1 6 0
-4 21 -5 0
23 5 -18 0
18 20 12 0
7 6 -9 0
30 -16 8 0
-4 -17 14 0
-8 -6 -3 0
-1 -23 32 0
29 23 8 0
3 18 -13 0
14 -20 17 0
-32 6 1 0
-3 8 15 0
-9 21 -16 0
3 -29 -23 0
19 -20 -28 0
13 -21 -15 0
27 11 2 0
5 15 -31 0
-21 18 13 0
11 -32 9 0
-1 -6 12 0
-31 -4 32 0
6 -20 13 0
-17 -15 29 0
4 -23 -24 0
2 -12 25 0
-13 5 24 0
20 -14 2 0
-29 -32 -15 0
22 -14 -11 0
-13 -28 -27 0
13 2 -20 0
-7 -4 -21 0
-9 -27 23 0
-16 -26 -20 0
-11 9 15 0
-24 32 29 0
-12 -25 23 0
-23 -15 -27 0
32 -19 7 0
-17 -31 3 0
-32 28 -6 0
6 -30 -2 0
-2 -10 31 0
-29 -16 21 0
-16 -27 23 0
4 -16 -2 0
9 11 31 0
